Predicted/True,donut,paddle,pen,sander,shovel,spatula,tbar,wrench
donut,3,0,0,0,0,0,0,0
paddle,0,3,0,0,0,0,0,0
pen,0,0,3,0,0,0,0,0
sander,0,0,0,3,0,0,0,0
shovel,0,0,0,0,3,0,0,0
spatula,0,0,0,0,0,3,0,0
tbar,0,0,0,0,0,0,3,0
wrench,0,0,0,0,0,0,0,3
